corpus,wordcount_mean,awl_mean,ttr_mean,amp_mean,andc_mean,caus_mean,demp_mean,dpar_mean,emph_mean,fpp1_mean,hdg_mean,inpr_mean,jj_mean,nn_mean,pin_mean,pit_mean,pomd_mean,spp2_mean,vprt_mean,xx0_mean,bema_mean,cont_mean,prod_mean,sere_mean,stpr_mean,thatd_mean,whcl_mean,whqu_mean,wordcount_max,awl_max,ttr_max,amp_max,andc_max,caus_max,demp_max,dpar_max,emph_max,fpp1_max,hdg_max,inpr_max,jj_max,nn_max,pin_max,pit_max,pomd_max,spp2_max,vprt_max,xx0_max,bema_max,cont_max,prod_max,sere_max,stpr_max,thatd_max,whcl_max,whqu_max,wordcount_min,awl_min,ttr_min,amp_min,andc_min,caus_min,demp_min,dpar_min,emph_min,fpp1_min,hdg_min,inpr_min,jj_min,nn_min,pin_min,pit_min,pomd_min,spp2_min,vprt_min,xx0_min,bema_min,cont_min,prod_min,sere_min,stpr_min,thatd_min,whcl_min,whqu_min,wordcount_sd,awl_sd,ttr_sd,amp_sd,andc_sd,caus_sd,demp_sd,dpar_sd,emph_sd,fpp1_sd,hdg_sd,inpr_sd,jj_sd,nn_sd,pin_sd,pit_sd,pomd_sd,spp2_sd,vprt_sd,xx0_sd,bema_sd,cont_sd,prod_sd,sere_sd,stpr_sd,thatd_sd,whcl_sd,whqu_sd
,hdg_mean,0.037630058,0.031369863,1.199560795,0.181955485,0.454636218,0.262506276,hdg_mean,0.454636218,,pos,cont_mean,0.135920616,,awl_mean,0.00029161,,,wordcount_mean,0.249802122,1.189044016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wordcount_mean,4434.393064,3729.376712,1.189044016,0.173149636,0.456820417,0.249802122,wordcount_mean,0.456820417,,pos,andc_mean,0.122596579,,,,,,cont_mean,0.196091998,1.145590948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cont_mean,1.01416185,0.885273973,1.145590948,0.135920616,0.466072063,0.196091998,cont_mean,0.466072063,,pos,dpar_mean,0.108715024,,,,,,andc_mean,0.176869476,1.13042829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,andc_mean,0.476560694,0.421575342,1.13042829,0.122596579,0.469389186,0.176869476,andc_mean,0.469389186,,pos,pit_mean,-0.03138333,,,,,,dpar_mean,0.156842626,1.114844601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpar_mean,0.052687861,0.047260274,1.114844601,0.108715024,0.472847981,0.156842626,dpar_mean,0.472847981,,pos,prod_mean,-0.036446959,,,,,,jj_mean,0.127640748,1.092505655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jj_mean,6.41083815,5.868013699,1.092505655,0.088473824,0.477895961,0.127640748,jj_mean,-0.477895961,,neg,emph_mean,-0.061768203,,,,,,nn_mean,0.040066408,1.028161152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nn_mean,20.49604046,19.93465753,1.028161152,0.027771918,0.493057467,0.040066408,nn_mean,-0.493057467,,neg,bema_mean,-0.14274309,,,,,,awl_mean,0.000420704,1.000291652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,awl_mean,4.486445087,4.485136986,1.000291652,0.00029161,0.499927098,0.000420704,awl_mean,-0.499927098,,neg,vprt_mean,-0.1966384,,,,,,pit_mean,-0.045276574,0.969104016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pit_mean,1.507023121,1.555068493,0.969104016,-0.03138333,0.507845188,-0.045276574,pit_mean,0.507845188,,pos,pomd_mean,-0.214217723,,,,,,prod_mean,-0.052581846,0.964209236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prod_mean,0.211069364,0.21890411,0.964209236,-0.036446959,0.509110731,-0.052581846,prod_mean,0.509110731,,pos,xx0_mean,-0.231416177,,,,,,emph_mean,-0.089112681,0.940100774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,emph_mean,0.973583815,1.035616438,0.940100774,-0.061768203,0.515437143,-0.089112681,emph_mean,0.515437143,,pos,whcl_mean,-0.336201278,,,,,,bema_mean,-0.205934748,0.866976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bema_mean,2.426763006,2.799109589,0.866976776,-0.14274309,0.535625302,-0.205934748,bema_mean,0.535625302,,pos,fpp1_mean,-0.606358861,,,,,,vprt_mean,-0.283689245,0.821487629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vprt_mean,7.09849711,8.641027397,0.821487629,-0.1966384,0.549001807,-0.283689245,vprt_mean,0.549001807,,pos,amp_mean,-0.62296927,,,,,,pomd_mean,-0.309050846,0.807172626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pomd_mean,0.729219653,0.903424658,0.807172626,-0.214217723,0.553350569,-0.309050846,pomd_mean,0.553350569,,pos,thatd_mean,-0.762024883,,,,,,xx0_mean,-0.333862971,0.793409199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,xx0_mean,1.338959538,1.68760274,0.793409199,-0.231416177,0.557597229,-0.333862971,xx0_mean,0.557597229,,pos,caus_mean,-1.282316183,,,,,,whcl_mean,-0.485035917,0.714479282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,whcl_mean,0.107514451,0.150479452,0.714479282,-0.336201278,0.583267474,-0.485035917,whcl_mean,0.583267474,,pos,,,,,,,,fpp1_mean,-0.874790922,0.545332891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fpp1_mean,3.190346821,5.850273973,0.545332891,-0.606358861,0.647109762,-0.874790922,fpp1_mean,0.647109762,,pos,,,,,,,,amp_mean,-0.898754676,0.536349505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,amp_mean,0.256676301,0.478561644,0.536349505,-0.62296927,0.650893561,-0.898754676,amp_mean,0.650893561,,pos,,,,,,,,thatd_mean,-1.099369519,0.466720415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,thatd_mean,0.340578035,0.729726027,0.466720415,-0.762024883,0.681793196,-1.099369519,thatd_mean,0.681793196,,pos,,,,,,,,caus_mean,-1.849991198,0.277394061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,caus_mean,0.147398844,0.531369863,0.277394061,-1.282316183,0.782843784,-1.849991198,caus_mean,0.782843784,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
