Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
HOC-BA	4462	4.57	217	0	0	0.36	3.00	0.13	0.13	5.94	0.20	0.22	0.45	0.11	2.33	0.56	0.02	0.52	0.18	1.08	0.63	0.09	8.58	0.40	0.78	0.40	2.13	0.02	0.20	0.07	1.59	0.31	5.51	0	0.54	21.16	2.20	0.20	0	1.19	8.25	1.30	0.13	1.08	0.45	0.76	0.99	0.02	1.39	0.18	3.72	0.27	0.25	0	0.67	0.09	0.54	0.34	2.38	0.20	2.91	0.25	0.04	6.30	0.85	2.31	2.06	8.09	0.16	0.74	0.02	1.95	1.84	0.07	0.85	0.92	0	0.83	0.09	0.11	1.79	0.22	0.34	0	0.25	0.40	0	0.11	0.31	0.27	0.16	0	0.18	0.27	0.09	0.25	0.38	
HOC-BB	7290	4.41	227	0.03	0	0.22	4.02	0.38	0.41	4.99	0.58	0.26	0.60	0.14	2.10	0.70	0.05	0.49	0.18	0.62	0.38	0.03	8.04	0.43	0.81	0.43	3.31	0.05	0.60	0.04	1.58	0.05	5.35	0.01	0.53	22.52	1.56	0.16	0	0.84	9.92	0.97	0.34	0.43	0.16	0.89	0.51	0.01	1.93	0.26	3.96	0.21	0.51	0	0.48	0.04	0.30	0.18	2.40	0.18	2.47	0.08	0.08	5.13	1.03	2.72	2.48	8.34	0.15	0.81	0	1.18	2.02	0.11	1.12	0.96	0.07	0.48	0.01	0.18	1.67	0.22	0.25	0.01	0.25	0.37	0.01	0.10	0.36	0.49	0.04	0.04	0.10	0.48	0.26	0.63	0.23	
HOC-BC	1165	4.50	226	0	0	0	1.29	0.09	0.09	4.72	0.17	0.26	0.43	0.26	2.32	1.29	0.09	0.69	0	0.77	0.34	0	10.30	0.09	0.86	0.26	1.63	0	0.26	0	1.46	0.09	6.78	0	0.52	19.31	3.18	0.26	0	1.46	9.70	1.46	0.43	1.03	0.60	0.94	1.46	0	1.03	0.17	4.03	0.17	0.26	0	0.17	0	0.43	0.34	2.66	0.17	1.97	0.77	0	6.87	1.29	1.97	1.55	6.09	0.17	0.52	0	1.03	2.40	0	1.12	0.52	0	0.60	0.09	0.26	1.46	0.09	0.34	0	0.34	0.69	0	0.17	0.69	0.34	0	0.09	0.17	0.17	0.17	0.43	0	
HOC-BD	1356	4.53	216	0	0	0.07	2.06	0.37	0.37	5.97	0.59	0.37	0.59	0.22	2.14	0.96	0	0.66	0.22	1.11	1.03	0	9.29	0.15	1.25	0.37	2.95	0	0.22	0.07	1.47	0.22	6.64	0	1.33	19.47	2.80	0.15	0	0.52	8.33	1.55	0.29	0.88	0.29	1.25	0.88	0.07	1.03	0.22	4.50	0	0.07	0	0.44	0	0.96	0.37	1.70	0.15	1.84	0.15	0.07	6.34	1.18	1.70	1.84	7.37	0.15	0.52	0	1.84	3.02	0	1.47	0.59	0	0.66	0	0.22	1.92	0.37	0.66	0	0	0.59	0	0	0.74	0.37	0.07	0	0.15	0.07	0.15	0.44	0.07	
HOC-BE	5454	4.53	211	0	0	0.24	2.88	0.04	0.04	5.57	0.28	0.40	0.46	0.09	2.40	0.42	0.07	0.61	0.29	0.95	0.59	0.06	7.52	0.18	1.01	0.26	3.80	0	0.20	0.04	1.50	0.09	6.89	0	0.95	18.13	2.59	0.09	0	1.17	9.48	1.08	0.26	0.50	0.39	1.32	0.61	0	1.30	0.28	3.43	0.09	0.95	0	0.29	0.13	0.29	0.31	3.12	0.15	2.70	0.17	0.02	6.16	1.45	2.02	2.60	7.63	0.24	1.01	0.02	1.36	2.66	0.09	0.70	0.95	0.02	0.77	0.04	0.02	2.18	0.22	0.42	0.11	0.07	0.37	0.02	0.17	0.61	0.29	0.11	0.02	0.09	0.42	0.15	0.28	0.26	
HOC-BF	1045	4.29	217	0	0	0.19	3.73	0.10	0.10	4.98	0.48	0.29	0.19	0	1.91	0.38	0	0.57	0.19	0.29	0.48	0.10	8.23	0.57	0.86	0.29	4.40	0.19	0.57	0	1.82	0	5.84	0	0.57	17.80	2.39	0.10	0	0.48	9.09	1.53	0.10	1.05	0.57	0.86	0.77	0	2.39	0.38	4.02	0.19	0.67	0	0.19	0	0.48	0.19	2.68	0.38	4.11	0.10	0	6.51	1.91	2.97	1.82	6.22	0.29	0.57	0	1.63	2.30	0.19	1.91	0.77	0	0.48	0.19	0.10	1.82	0.38	0.77	0.10	0	0.67	0	0.10	0.77	0.38	0.38	0	0.10	0	0	0.77	0.19	
HOC-BG	7662	4.14	217	0	0	0.35	2.85	0.09	0.09	7.10	0.69	0.31	0.51	0.10	2.53	1.32	0.13	0.16	0	0.67	0.34	0.12	6.81	0.27	1.00	0.16	6.47	0.04	0.34	0.07	1.32	0.01	5.38	0.01	0.22	21.31	1.03	0.21	0.01	1.10	9.74	0.73	0.35	0.63	0.50	0.72	1.23	0	1.63	0.39	4.72	0.21	2.47	0	0.08	0.08	0.23	0.84	1.23	0.13	3.48	0.10	0.13	4.27	5.59	1.36	2.32	4.25	0.08	0.51	0.01	0.37	2.83	0.16	0.99	0.70	0.03	0.95	0	0.04	1.92	0.04	0.39	0.03	0.08	0.54	0	0.10	0.16	0.37	0.07	0.07	0.04	0.23	0.05	0.12	0.40	
HOC-BH	1745	4.75	228	0	0	0.23	2.46	0.06	0.06	6.02	0.40	0.17	0.29	0.06	2.41	0.69	0	0.34	0.23	1.26	0.80	0.06	7.56	0.17	0.92	0.29	1.43	0	0.06	0.06	1.55	0	7.56	0	0.63	19.89	2.35	0.06	0	1.09	9.40	1.03	0.63	0.86	0.63	1.55	1.32	0	1.49	0.46	3.95	0.17	0.86	0.06	0.11	0.11	0.23	0.06	1.89	0.11	2.92	0.11	0	6.07	1.55	2.92	3.55	6.02	0.06	0.80	0.06	1.66	2.92	0	1.15	1.66	0.06	0.86	0	0.17	1.83	0.17	0.46	0	0.23	0.69	0	0.23	0.23	0.46	0.11	0.06	0.23	0.11	0.11	0.46	0.34	
HOC-BI	2802	4.41	211	0	0	0.36	3.64	0.32	0.32	5.75	0.32	0.29	0.93	0.36	2.43	1.00	0.18	0.39	0.32	1.14	0.89	0.04	5.89	0.68	1.28	0.43	4.89	0.04	0.14	0.04	1.78	0.18	7.92	0	0.36	16.85	1.86	0.18	0	0.75	8.67	2.32	0.18	0.61	0.54	1.93	0.54	0	1.14	0.25	4.39	0.11	0.86	0	0.29	0.14	0.75	0.29	1.96	0.14	1.57	0.07	0.04	4.68	0.93	2.00	2.03	9.81	0.29	0.57	0	1.78	3.89	0.07	2.21	0.54	0.04	0.68	0.04	0.07	2.21	0.11	0.25	0.21	0.14	0.39	0	0.11	0.11	0.68	0.07	0	0.14	0.11	0.04	0.14	0.39	
HOC-BJ	1389	4.09	203	0	0	0.14	3.02	0.36	0.36	5.83	0.22	0.14	0.43	0.07	1.58	1.15	0	0.94	0.14	0.79	0.86	0.07	8.28	0.36	1.15	0.29	2.81	0	0.79	0	1.22	0	5.62	0	0.50	20.09	1.01	0.14	0.07	0.65	7.92	1.51	0.14	0.79	0.79	0.36	1.30	0	1.37	0.43	4.82	0	0.50	0	0.22	0.22	0.43	0.50	2.52	0.14	4.39	0.14	0	7.06	1.08	2.23	2.02	7.42	0.07	0.72	0	2.09	1.73	0.07	1.66	1.01	0	0.14	0	0.14	2.30	0.58	0.29	0	0	0.72	0	0.07	0.94	0.29	0	0.07	0.14	0.22	0.07	0.36	0.14	
HOC-BK	3319	4.33	213	0	0	0.18	2.95	0.03	0.03	5.15	0.45	0.30	0.57	0.24	1.99	0.39	0.03	0.87	0.15	1.42	0.87	0	7.47	0.15	0.60	0.33	3.07	0	0.45	0.03	1.42	0.03	4.70	0	1.21	17.41	2.05	0.33	0	0.60	8.20	1.60	0.30	1.08	0.54	1.45	1.21	0	1.18	0.33	4.46	0.27	0.69	0	0.36	0.15	0.42	0.24	3.50	0.27	3.62	0.18	0.06	7.65	1.05	1.78	2.98	7.38	0.18	0.81	0.03	1.72	2.53	0.12	0.90	1.42	0.03	0.78	0.12	0.06	1.42	0.15	0.45	0.03	0.12	0.51	0.03	0.06	0.93	0.42	0.15	0.06	0.18	0.18	0.18	0.24	0.21	
HOC-BL	4496	4.68	233	0	0	0.44	2.87	0.11	0.11	5.65	0.71	0.11	0.58	0.07	2.05	0.44	0.02	0.51	0.36	1.40	0.76	0	8.01	0.16	0.65	0.24	2.69	0.02	0.31	0.07	1.60	0.11	5.65	0	0.69	21.31	2.47	0.07	0.02	0.67	9.92	1.38	0.24	0.38	0.44	0.69	1.16	0.02	1.20	0.24	3.34	0.20	0.33	0.02	0.47	0.07	0.40	0.36	2.69	0.24	3.25	0.09	0	5.74	2.94	2.11	3.23	5.72	0.16	0.78	0.04	1.51	2.45	0.16	0.93	1.18	0	1.00	0.09	0.07	1.85	0.16	0.56	0.04	0.29	0.36	0.02	0.11	0.44	0.27	0.04	0	0.31	0.13	0.18	0.29	0.49	
HOC-BM	3042	4.75	210	0	0	0.13	2.93	0.30	0.30	4.87	0.26	0.33	0.39	0.10	2.53	0.69	0.07	0.76	0.23	1.12	0.72	0.10	9.83	0.16	0.72	0.33	1.68	0	0.53	0	1.22	0.07	7.03	0.07	0.26	20.38	3.48	0.13	0	0.92	10.03	1.18	0.46	0.72	0.16	0.69	1.87	0.03	1.18	0.26	3.71	0.23	0.07	0	0.43	0.13	0.49	0.49	2.30	0.23	2.07	0.07	0.03	5.82	0.82	1.48	2.63	6.21	0.30	0.53	0	1.35	2.17	0.10	0.43	1.15	0.03	0.59	0.07	0.07	1.64	0.07	0.46	0.07	0.20	0.59	0.03	0.07	0.49	0.39	0.03	0.10	0.16	0.33	0.16	0.23	0.13	
HOC-BN	5564	4.29	216	0	0	1.04	3.79	0.52	0.52	5.68	0.52	0.36	0.52	0.25	2.07	1.80	0.14	0.32	0.23	1.24	0.52	0	8.57	0.40	1.44	0.20	2.93	0.13	0.36	0.04	1.38	0.02	7.01	0.04	0.32	23.02	1.04	0.23	0	0.54	8.86	2.01	0.13	0.66	0.72	0.93	0.52	0.05	1.82	0.43	4.78	0.20	0.34	0.07	0.16	0.05	0.52	0.32	1.56	0.23	1.10	0.32	0.02	3.77	2.75	1.20	2.26	7.21	0.18	0.66	0.02	1.58	2.93	0.11	1.04	0.93	0.04	0.43	0.02	0.13	1.60	0.09	0.61	0.13	0.22	0.40	0	0.13	0.45	0.29	0.07	0.02	0.25	0.13	0.14	0.18	1.20	
HOC-BO	5671	4.68	231	0	0	0.46	3.44	0.25	0.25	5.03	0.69	0.34	0.37	0.28	2.17	0.41	0.02	0.48	0.44	1.55	0.86	0.07	7.04	0.30	0.72	0.39	3.37	0.02	0.99	0.04	1.53	0.07	8.11	0	0.60	18.25	2.66	0.18	0.02	0.51	9.66	1.60	0.25	0.93	0.44	1.25	1.11	0.09	1.41	0.42	3.33	0.16	0.32	0	0.48	0.02	0.28	0.35	2.43	0.21	0.78	0.21	0	6.59	0.67	2.66	2.50	7.46	0.49	0.78	0	1.59	2.52	0.14	0.81	1.30	0.04	0.37	0.07	0.21	1.69	0.14	0.35	0.09	0.12	0.62	0.04	0.05	0.48	0.34	0.07	0.04	0.09	0.26	0.11	0.30	0.49	
HOC-BP	5205	4.63	205	0	0	0.19	2.79	0.13	0.13	5.55	0.15	0.31	0.40	0.10	2.15	0.40	0.02	0.48	0.33	0.92	0.67	0.08	8.95	0.50	0.58	0.31	2.23	0.02	0.54	0.02	1.86	0	6.49	0	1.00	20.40	2.42	0.33	0.04	0.79	9.20	1.61	0.37	0.81	0.19	0.94	1.23	0.02	1.29	0.21	3.82	0.27	0.13	0	0.19	0.12	0.44	0.67	2.56	0.17	1.88	0.19	0.17	6.95	0.83	2.02	2.96	6.40	0.12	0.52	0	1.31	2.25	0.08	0.88	1.40	0.06	0.65	0.04	0.04	1.71	0.17	0.35	0	0.10	0.65	0.04	0.08	0.52	0.31	0.02	0	0.12	0.17	0.12	0.29	0.19	
HOC-BQ	1136	4.76	246	0.09	0	0.44	3.08	0.18	0.18	5.37	1.23	0.35	0.09	0.26	3.26	0.88	0	0.26	0.09	0.97	0.53	0	6.69	0.18	1.85	0.35	2.64	0.18	0.26	0	1.58	0.26	6.69	0	0.35	21.65	4.23	0.09	0.09	1.41	10.21	1.14	0	0.35	0.53	0.53	1.32	0	1.32	0.18	2.99	0.18	0.44	0	0.09	0	0.26	0.62	2.20	0.18	1.85	0	0.09	6.16	1.32	2.11	2.29	6.60	0.26	1.14	0	0.70	1.50	0.09	0.79	0.79	0	0.79	0.18	0	1.76	0.35	0.35	0	0.09	0.62	0	0.26	0.18	0.53	0.09	0	0	0.62	0.09	0.18	0.62	
HOC-BR	1458	4.38	236	0.21	0	0.07	4.39	0.48	0.62	5.76	1.37	0.27	0.69	0.07	1.51	1.30	0.14	0.41	0.48	0.62	0.27	0	9.05	0.07	0.96	0.27	3.57	0	0.41	0	1.65	0.07	7.82	0.14	0.62	23.25	1.85	0.21	0.14	0.69	10.97	1.71	0.48	0.48	0.07	0.96	0.69	0	1.65	0.34	3.64	0.14	0.27	0.07	0.21	0.07	0.34	0.34	1.51	0	0.62	0.14	0.14	4.12	0.96	1.78	2.47	7.41	0.07	0.27	0	1.17	2.19	0.07	0.82	1.17	0	0.55	0	0	0.89	0.27	0.21	0	0	0.27	0	0.07	0.07	0.07	0.07	0	0	0.07	0.14	0.27	0.07	
HOC-BS	5176	4.31	234	0.06	0	0.39	2.47	0.25	0.25	5.49	0.81	0.23	0.37	0.10	1.64	2.41	0.02	0.75	0.19	0.75	0.66	0.10	8.77	0.31	1.02	0.15	3.94	0.06	0.52	0.04	2.13	0.06	6.22	0	0.29	20.40	1.70	0.14	0.02	0.41	8.60	1.66	0.48	0.77	0.25	0.83	1.29	0.02	0.99	0.23	3.84	0.29	0.62	0	0.15	0.02	0.39	0.60	2.18	0.14	1.68	0.14	0.04	5.56	1.82	2.18	2.01	7.32	0.23	0.81	0	1.53	2.20	0.06	1.51	0.56	0.04	0.60	0.08	0.08	1.37	0.12	0.60	0.02	0.10	0.33	0.02	0.08	0.46	0.29	0.17	0.06	0.25	0.35	0.12	0.35	0.39	
HOC-BT	5717	4.57	215	0	0.02	0.19	3.04	0.12	0.12	5.35	0.52	0.12	0.24	0.21	2.13	0.65	0.03	0.37	0.33	1.17	0.52	0.16	10.04	0.26	0.59	0.24	2.45	0.02	0.40	0.03	1.61	0.12	5.54	0	0.75	22.23	2.31	0.12	0	1.00	9.53	1.68	0.33	0.49	0.37	0.80	0.87	0	1.07	0.05	3.50	0.21	0.38	0	0.33	0.16	0.37	0.58	2.55	0.19	2.03	0.19	0.02	5.58	1.78	2.15	2.64	6.75	0.17	0.58	0.02	1.15	2.36	0.10	0.72	1.07	0.07	0.98	0.09	0.12	1.29	0.26	0.42	0.03	0.10	0.56	0.03	0.07	0.31	0.23	0.03	0	0.12	0.17	0.05	0.26	0.23	
HOC-BU	943	4.54	236	0	0	0.21	2.23	0.32	0.32	5.94	0.64	0.64	0.53	0.21	2.01	0.85	0	0.53	0.32	0.53	0.21	0	7.53	0.21	0.95	0	3.50	0	0.11	0	1.80	0.11	6.79	0	0.11	23.22	2.55	0	0	1.06	8.91	1.06	0.42	0.74	0.42	0.74	1.80	0	0.64	0.42	2.86	0.32	0.64	0	0.32	0.11	0.11	0.42	2.12	0.11	3.82	0.11	0	5.73	1.06	2.65	2.44	7.00	0.32	0.53	0	0.74	2.76	0.21	0.95	0.64	0	1.17	0	0.21	2.23	0.32	0	0.11	0.42	0.64	0	0.11	0.11	0.85	0	0	0	0.42	0	0.42	0.21	
HOC-BV	957	4.71	224	0	0	0.31	2.72	0.21	0.21	5.54	0.31	0.63	0.31	0.10	2.51	0.42	0.21	0.31	0	0.63	1.04	0	7.84	0.21	0.63	0.31	1.78	0.10	0.21	0	2.61	0.10	8.05	0	1.25	19.85	2.72	0	0	0.73	8.67	1.99	0.73	0.63	0	1.15	1.57	0	1.88	0	4.28	0.63	0	0	0.52	0.21	0.31	0.52	1.67	0.21	1.15	0.21	0	5.96	0.31	2.51	3.87	7.00	0.42	0.31	0	0.73	2.30	0	0.21	1.99	0	1.04	0.10	0.21	0.84	0.21	0.42	0.10	0.31	0.73	0	0	0.42	0.31	0	0	0	0.21	0.10	0.42	0.31	
HOC-BW	3193	4.21	209	0.38	0	0.19	3.16	0.22	0.22	5.36	0.34	0.25	0.50	0.13	1.97	0.94	0.03	0.78	0.28	0.88	0.28	0	9.15	0.53	0.50	0.13	4.64	0.03	0.28	0	1.47	0	3.85	0	0.91	19.23	1.32	0.19	0	0.34	8.46	1.97	0.16	0.50	0.38	1.13	1.00	0	0.91	0.28	4.32	0.16	0.19	0	0.22	0.16	0.53	0.60	2.57	0.22	4.76	0.09	0.06	5.95	4.82	1.72	3.07	5.26	0.22	0.53	0	1.41	2.32	0.03	0.94	1.06	0.03	1.32	0.03	0.03	1.88	0.06	1.00	0.13	0.16	0.56	0.03	0.09	0.53	0.44	0.09	0.03	0.06	0.19	0.09	0.19	0.19	
HOC-BX	9215	4.41	201	0.02	0	0.42	3.09	0.37	0.41	5.05	0.80	0.24	0.43	0.10	2.11	0.73	0.03	0.54	0.16	0.85	0.48	0.07	9.93	0.35	0.80	0.23	4.09	0.08	0.36	0.03	1.63	0.12	6.39	0.02	0.44	20.24	2.37	0.22	0	0.78	9.72	1.40	0.40	0.52	0.43	0.85	1.73	0.03	0.97	0.24	4.43	0.27	0.46	0.01	0.31	0.04	0.34	0.51	2.13	0.24	1.14	0.16	0.15	6.04	0.68	2.22	1.94	6.86	0.27	0.39	0.01	1.50	2.24	0.08	0.98	0.67	0.02	0.68	0.03	0.14	1.52	0.11	0.36	0.05	0.16	0.60	0.01	0.12	0.44	0.33	0.09	0.01	0.14	0.16	0.09	0.21	0.43	
HOC-BY	2945	4.32	217	0.27	0.10	0.41	2.95	0.20	0.20	6.18	0.54	0.24	0.37	0.10	1.80	0.88	0.03	0.85	0.31	0.98	0.81	0.10	7.20	0.31	0.98	0.41	2.85	0.03	0.54	0.07	1.22	0.03	5.23	0	0.71	21.77	1.60	0.14	0.03	0.65	8.93	1.49	0.17	0.71	0.41	1.12	0.75	0	1.36	0.51	4.41	0.27	0.54	0	0.14	0.14	0.24	0.34	2.55	0.31	2.89	0.14	0.03	6.32	0.98	1.53	2.21	8.59	0.24	0.58	0.03	1.87	2.65	0.07	1.73	1.22	0.03	0.34	0.03	0.07	1.39	0.20	0.54	0	0.03	0.37	0	0.03	0.75	0.37	0.17	0.03	0.31	0.14	0.07	0.31	0.44	
HOC-BZ	4083	4.47	213	0.05	0	0.27	3.21	0.10	0.10	5.05	0.64	0.29	0.51	0.12	2.35	1.62	0	0.64	0.17	0.69	0.56	0.07	8.67	0.17	1.00	0.29	2.84	0.07	0.29	0	1.93	0.02	6.34	0	0.47	20.45	2.08	0.27	0	0.61	9.48	1.57	0.96	0.54	0.22	0.88	1.22	0.02	1.18	0.20	5.05	0.07	0.51	0	0.37	0.15	0.20	0.39	2.23	0.17	1.37	0.20	0.10	5.49	0.96	1.76	2.40	7.91	0.10	0.73	0.02	1.08	2.52	0.05	1.10	0.86	0	0.91	0	0.12	1.25	0.15	0.39	0.02	0.07	0.51	0.02	0.10	0.59	0.32	0.17	0.05	0.17	0.32	0.07	0.37	0.27	
HOC-CA	4048	4.38	203	0	0	0.82	3.46	0.37	0.37	5.16	0.54	0.20	0.44	0.17	2.30	0.84	0.10	0.72	0.25	1.01	0.77	0.02	5.95	0.35	1.41	0.37	3.24	0.10	0.54	0	1.83	0.15	6.65	0	0.49	20.18	1.46	0.10	0	1.11	9.19	1.88	0.27	0.64	0.52	1.26	0.62	0	1.38	0.57	4.55	0.35	0.91	0.02	0.12	0.10	0.35	0.44	1.98	0.10	1.48	0.10	0.02	5.81	0.91	2.08	2.08	8.89	0.25	1.16	0	1.63	2.40	0.17	1.78	0.89	0	0.42	0.02	0.12	2.20	0.12	0.82	0.12	0.15	0.54	0	0.20	0.17	0.47	0.05	0.02	0.02	0.27	0.20	0.27	0.99	
HOC-CB	3253	4.52	198	0	0	0.55	3.41	0.28	0.28	5.35	0.65	0.15	0.49	0.18	2.52	0.43	0.03	0.28	0.46	1.29	1.05	0.03	7.01	0.31	0.89	0.22	2.67	0	0.18	0.03	1.51	0.06	5.53	0	0.83	21.40	1.63	0.09	0	1.08	8.76	1.29	0.18	0.74	0.43	0.83	1.14	0	1.54	0.52	3.29	0.15	0.80	0.03	0.31	0.09	0.31	0.40	2.27	0.15	2.74	0.37	0.09	6.36	0.89	2.83	2.64	7.93	0.31	0.92	0	1.60	2.06	0.09	1.05	1.23	0	0.68	0.03	0.03	1.69	0.43	0.37	0.06	0.12	0.74	0	0.09	0.34	0.40	0.06	0.03	0.12	0.40	0.09	0.37	0.65	
HOC-CC	4385	4.50	210	0	0	0.23	2.60	0.14	0.14	5.43	0.48	0.21	0.36	0.16	2.01	0.71	0.02	0.91	0.18	0.78	0.41	0.02	8.67	0.14	0.52	0.23	2.58	0.02	0.25	0.02	1.80	0.07	5.66	0	1.14	23.06	1.76	0.09	0	0.84	11.29	1.98	0.25	0.55	0.46	1.09	0.80	0.05	1.25	0.11	3.79	0.30	0.55	0.02	0.30	0.07	0.25	0.36	2.10	0.25	2.01	0.18	0	5.75	1.23	1.82	2.01	6.66	0.30	0.50	0	1.44	2.33	0.16	1.07	1.05	0	0.41	0.05	0.18	1.60	0.07	0.43	0.09	0.14	0.32	0.02	0.16	0.94	0.18	0.11	0.05	0.16	0.14	0.05	0.27	0.30	
HOC-CD	5534	4.41	217	0	0	0.22	3.16	0.25	0.23	5.06	0.61	0.13	0.54	0.23	2.22	0.72	0.07	0.69	0.14	1.08	0.87	0.07	6.58	0.14	1.10	0.27	4.21	0.04	0.31	0.02	1.63	0.04	5.53	0	0.69	18.16	2.01	0.18	0.02	0.42	8.46	1.21	0.22	0.63	0.27	0.94	1.10	0	1.66	0.36	4.39	0.34	1.07	0	0.34	0.09	0.52	0.45	3.20	0.23	1.95	0.18	0.09	6.78	0.98	2.66	2.40	8.10	0.18	1.25	0	1.90	2.08	0.05	1.39	0.87	0.04	0.65	0.02	0.14	1.72	0.34	0.47	0.07	0.27	0.34	0.07	0.14	0.67	0.43	0.09	0.04	0.16	0.43	0.25	0.38	0.22	
HOC-CE	8184	4.51	222	0	0	0.44	3.70	0.12	0.12	5.61	0.54	0.23	0.53	0.11	1.88	0.71	0.09	0.54	0.27	1.04	0.64	0.10	9.62	0.34	0.68	0.33	2.39	0.04	0.56	0.02	1.43	0.17	5.93	0	0.38	20.53	1.85	0.11	0.01	0.70	9.69	1.50	0.43	0.64	0.34	0.86	1.09	0.02	1.26	0.17	4.11	0.20	0.45	0	0.33	0.13	0.57	0.50	2.02	0.16	1.69	0.16	0.12	4.99	2.08	1.93	3.79	7.18	0.23	1.04	0.04	1.16	2.31	0.13	0.71	1.39	0.02	1.59	0.07	0.10	1.65	0.20	0.60	0.05	0.20	0.79	0.01	0.06	0.45	0.27	0.20	0.05	0.16	0.29	0.11	0.18	0.51	
HOC-CF	1055	4.26	210	0	0	0.47	2.84	0	0	6.54	0.38	0.85	0.38	0	1.90	0.66	0.09	0.19	0.09	0.47	0.38	0	9.10	0.28	0.95	0.09	3.70	0.09	0.38	0	1.14	0.09	5.88	0	0	23.41	1.90	0.19	0	1.33	9.57	0.57	0.38	1.52	0.85	0.66	1.14	0.19	1.14	0.09	4.27	0.28	0.19	0	0	0	0.09	0.85	1.71	0.19	5.59	0.19	0	3.89	5.21	1.61	2.46	2.84	0.09	0.76	0	0.38	3.03	0.28	0.47	0.66	0	0.85	0	0.09	1.90	0	0.09	0	0	1.14	0	0	0.38	0.28	0.38	0.09	0	0.28	0.19	0.19	0.47	
HOC-CG	1904	4.52	218	0	0	0.53	2.57	0.11	0.11	5.30	0.79	0.05	0.26	0	2.26	0.53	0.11	0.79	0.26	1.10	0.84	0.05	7.67	0.42	1.21	0	3.62	0.05	0.26	0	1.68	0.05	6.51	0	0.95	19.43	2.05	0.16	0	0.37	9.03	1.10	0.21	0.42	0.68	1.05	0.58	0.05	1.52	0.47	3.52	0.37	0.84	0	0.42	0.05	0.47	0.16	2.89	0.11	3.73	0.21	0	6.20	1.16	1.26	2.15	8.46	0.11	0.95	0	1.63	2.99	0.05	1.37	0.84	0	0.63	0	0.05	1.79	0.16	0.42	0.11	0.16	0.37	0.05	0.05	0.53	0.37	0.16	0	0.05	0.68	0.16	0.53	0.58	
HOC-CH	3417	4.54	197	0	0	0.15	3.19	0.06	0.06	5.30	0.32	0.23	0.29	0.12	1.93	0.35	0.06	0.56	0.35	1.11	0.70	0	7.55	0.20	1.02	0.09	1.99	0.03	0.23	0.15	1.99	0.12	5.79	0	0.94	22.97	2.02	0.26	0	1.08	10.33	1.23	0.06	0.61	0.85	0.88	0.50	0	1.52	0.41	3.57	0.20	0.09	0	0.29	0.09	0.41	0.29	2.14	0.09	4.10	0.09	0	5.38	1.14	2.31	2.40	6.91	0.18	0.67	0	1.43	1.90	0.12	0.76	1.08	0.03	0.44	0.15	0.15	1.84	0.38	0.50	0.03	0.09	0.29	0	0.20	0.32	0.26	0.12	0.06	0.09	0.06	0.03	0.38	0.20	
HOC-CI	3787	4.45	229	0	0	0.37	3.12	0.11	0.11	6.07	0.61	0.24	0.37	0.13	2.30	0.77	0	0.40	0.21	0.82	0.40	0.13	7.74	0.26	1.06	0.26	3.46	0.05	0.26	0.03	1.51	0.03	6.28	0	0.50	22.08	2.30	0.24	0	0.66	10.22	0.92	0.32	0.29	0.55	1.03	0.71	0	1.43	0.21	3.27	0.05	0.50	0	0.29	0.05	0.34	0.24	1.72	0.18	3.96	0.16	0.11	4.44	1.32	2.30	2.32	8.32	0.32	0.90	0	1.29	2.69	0.11	1.19	0.55	0.03	0.95	0.03	0.08	1.93	0.29	0.58	0.08	0.24	0.42	0.03	0.11	0.84	0.37	0.13	0	0.08	0.26	0.03	0.32	0.37	
HOC-CJ	1592	4.60	219	0	0	0.88	4.15	0.44	0.44	5.59	0.88	0.25	0.63	0.25	2.70	1.13	0.06	0.75	0.44	0.50	0.57	0	6.53	0.13	0.94	0.13	2.01	0	0.38	0	1.63	0.19	6.41	0	0.31	23.12	1.88	0.13	0	1.44	9.86	2.26	0.13	0.44	0.19	1.07	0.69	0	1.63	0.19	3.64	0.06	0.44	0	0.19	0	0.57	0.31	1.88	0.31	2.83	0.25	0	4.15	1.76	1.26	3.02	8.54	0.25	0.31	0	1.13	2.70	0.13	0.94	1.07	0.13	1.19	0.13	0	1.76	0.19	0.38	0	0.06	0.57	0.06	0.13	0.19	0.38	0.06	0.06	0.06	0.06	0.13	0.13	0.88	
